# Sembol Önekleri ve Piyasa Türleri:
# 
# === ANA PIYASALAR ===
# IMKBH': IMKB HISSE - Borsa İstanbul Hisse Senetleri
# IMKBX': IMKB ENDEKS - Borsa İstanbul Endeksleri
# 
# === TÜREV ÜRÜNLER ===
# VIP'O_: VADELI ISLEM VE OPSIYON - Opsiyon Sözleşmeleri
# VIP'TM_: VADELI ISLEM VE OPSIYON - Vadeli İşlem Sözleşmeleri (TürkMen)
# VIP'VIP: VADELI ISLEM VE OPSIYON - VIP Vadeli İşlem Sözleşmeleri
# 
# === ULUSLARARASI PIYASALAR ===
# WBOND': DUNYA BONOLARI - Dünya Tahvil ve Forward Kurları
# WINX': DUNYA ENDEKSLERI - Dünya Borsası Endeksleri (DAX, FTSE, etc.)
# EUREX': EUREX - Avrupa Türev Borsası
# 
# === DİĞER PIYASALAR ===
# FX': FX - Döviz Paritesi
# CRP': KRIPTO PARA - Kripto Para Birimleri
# BNKGS': BANKA GISE KURLARI - Banka Gişe Kurları
# KIYM': KIYMETLI MADENLER - Altın, Gümüş, Platin vb.
# NFT': NFT - Non Fungible Token
# 
# === BANKACILIK VE FAİZ ===
# LIBOR': LIBOR - Londra Bankalararası Faiz Oranları
# INTUSD': INTERBANK - Bankalararası Dolar Piyasası
# OVERN': INTERBANK OVERNIGHT - Gecelik Faiz Oranları
# TCMBK': TCMB KURLAR - Merkez Bankası Kurları
# DOVIZ': DOVIZ BUROLARI - Döviz Büro Kurları
# 
# === ÇEŞİTLİ ===
# DFN': CESITLI PIYASALAR - Çeşitli Finansal Araçlar
# SERPIY': SERBEST PIYASA - Serbest Piyasa İşlemleri
# FUTGCK': GECIKMELI VADELILER - Gecikmeli Vadeli İşlemler
# THVX': TAHVIL - Tahvil İşlemleri
#
symbol,market_type,isin_code,company_name,sector_code,group_code,market_code
BNKGS'AKBEUR,BANKA GISE KURLARI,,AKBNK EUR BANKA GISE KURU,,,
BNKGS'AKBGBP,BANKA GISE KURLARI,,AKBANK STERLIN BANKA GISE KURU,,,
BNKGS'AKBUSD,BANKA GISE KURLARI,,AKBANK USD GISE KURU,,,
BNKGS'AKBXAU,BANKA GISE KURLARI,,AKBANK ALTIN ONS BANKA GISE KURU,,,
BNKGS'ALBEUR,BANKA GISE KURLARI,,ALBARAKA EUR BANKA GISE KURU,,,
BNKGS'ALBGBP,BANKA GISE KURLARI,,ALBARAKA STERLIN BANKA GISE KURU,,,
BNKGS'ALBUSD,BANKA GISE KURLARI,,ALBARAKA USD GISE KURU,,,
BNKGS'ALBXAU,BANKA GISE KURLARI,,ALBARAKA GR ALTIN BANKA GISE KURU,,,
BNKGS'ANDEUR,BANKA GISE KURLARI,,ANADOLU EUR BANKA GISE KURU,,,
BNKGS'ANDUSD,BANKA GISE KURLARI,,ANADOLU USD GISE KURU,,,
BNKGS'ANDXAU,BANKA GISE KURLARI,,ANADOLU GR ALTIN BANKA GISE KURU,,,
BNKGS'DNZEUR,BANKA GISE KURLARI,,DENIZ EUR BANKA GISE KURU,,,
BNKGS'DNZGBP,BANKA GISE KURLARI,,DENIZ STERLIN BANKA GISE KURU,,,
BNKGS'DNZUSD,BANKA GISE KURLARI,,DENIZ USD BANKA GISE KURU,,,
BNKGS'DNZXAU,BANKA GISE KURLARI,,DENIZ GR ALTIN BANKA GISE KURU,,,
BNKGS'GRNEUR,BANKA GISE KURLARI,,GARAN EURO BANKA GISE KURU,,,
BNKGS'GRNGBP,BANKA GISE KURLARI,,GARAN GBP BANKA GISE KURU,,,
BNKGS'GRNSAR,BANKA GISE KURLARI,,GARANTI SAR BANKA GISE KURU,,,
BNKGS'GRNUSD,BANKA GISE KURLARI,,GARAN USD BANKA GISE KURU,,,
BNKGS'GRNXAU,BANKA GISE KURLARI,,GARANTI GR ALTIN BANKA GISE KURU,,,
BNKGS'HALKEUR,BANKA GISE KURLARI,,HALK EURO BANKA GISE KURU,,,
BNKGS'HALKUSD,BANKA GISE KURLARI,,HALK USD BANKA GISE KURU,,,
BNKGS'HALKXAU,BANKA GISE KURLARI,,HALK ALTIN BANKA GISE KURU,,,
BNKGS'HSBCEUR,BANKA GISE KURLARI,,HSBC EUR BANKA GISE KURU,,,
BNKGS'HSBCGBP,BANKA GISE KURLARI,,HSBC STERLIN BANKA GISE KURU,,,
BNKGS'HSBCUSD,BANKA GISE KURLARI,,HSBC USD BANKA GISE KURU,,,
BNKGS'ISBNKEUR,BANKA GISE KURLARI,,IS BANKASI EURO BANKA GISE KUR,,,
BNKGS'ISBNKGBP,BANKA GISE KURLARI,,IS BANKASI STERLIN BANKA GISE KURU,,,
BNKGS'ISBNKUSD,BANKA GISE KURLARI,,IS BANKASI USD BANKA GISE KUR,,,
BNKGS'ISBNKXAU,BANKA GISE KURLARI,,IS BANKASI GR ALTIN BANKA GISE KURU,,,
BNKGS'KVTEUR,BANKA GISE KURLARI,,KUVEYT TURK EURO GISE KURU,,,
BNKGS'KVTGBP,BANKA GISE KURLARI,,KUVEYT TURK STERLIN BANKA GISE KURU,,,
BNKGS'KVTUSD,BANKA GISE KURLARI,,KUVEYT TURK DOLAR GISE KURU,,,
BNKGS'KVTXAU,BANKA GISE KURLARI,,KUVEYT TURK GR ALTIN BANKA GISE KURU,,,
BNKGS'QNBEUR,BANKA GISE KURLARI,,QNB EURO BANKA GISE KURU,,,
BNKGS'QNBGBP,BANKA GISE KURLARI,,QNB GBP BANKA GISE KURU,,,
BNKGS'QNBUSD,BANKA GISE KURLARI,,QNB USD BANKA GISE KURU,,,
BNKGS'QNBXAU,BANKA GISE KURLARI,,QNB GR ALTIN BANKA GISE KURU,,,
BNKGS'SKBNEUR,BANKA GISE KURLARI,,SEKERBANK EURO GISE KURU,,,
BNKGS'SKBNGBP,BANKA GISE KURLARI,,SEKERBANK STERLIN BANKA GISE KURU,,,
BNKGS'SKBNUSD,BANKA GISE KURLARI,,SEKERBANK USD GISE KURU,,,
BNKGS'SKBNXAU,BANKA GISE KURLARI,,SEKERBANK GR ALTIN BANKA GISE KURU,,,
BNKGS'TEBEUR,BANKA GISE KURLARI,,TEB EURO BANKA GISE KURU,,,
BNKGS'TEBGBP,BANKA GISE KURLARI,,TEB GBP BANKA GISE KURU,,,
BNKGS'TEBUSD,BANKA GISE KURLARI,,TEB USD BANKA GISE KURU,,,
BNKGS'TRFINEUR,BANKA GISE KURLARI,,TURKIYE FINANS EURO BANKA GISE KURU,,,
BNKGS'TRFINGBP,BANKA GISE KURLARI,,TURKIYE FINANS GBP BANKA GISE KURU,,,
BNKGS'TRFINUSD,BANKA GISE KURLARI,,TURKIYE FINANS USD BANKA GISE KURU,,,
BNKGS'VAKIFEUR,BANKA GISE KURLARI,,VAKIFLAR BANKASI EURO GISE KURU,,,
BNKGS'VAKIFGBP,BANKA GISE KURLARI,,VAKIFLAR BANKASI STERLIN BANKA GISE KURU,,,
BNKGS'VAKIFUSD,BANKA GISE KURLARI,,VAKIFLAR BANKASI USD BANKA GISE KURU,,,
BNKGS'YKBEUR,BANKA GISE KURLARI,,YKB EURO BANKA GISE KURU,,,
BNKGS'YKBUSD,BANKA GISE KURLARI,,YKB USD BANKA GISE KURU,,,
BNKGS'YKBXAU,BANKA GISE KURLARI,,YKB GR ALTIN BANKA GISE KURU,,,
BNKGS'ZBEUR,BANKA GISE KURLARI,,ZIRAAT EURO BANKA GISE KURU,,,
BNKGS'ZBGBP,BANKA GISE KURLARI,,ZIRAAT GBP BANKA GISE KURU,,,
BNKGS'ZBUSD,BANKA GISE KURLARI,,ZIRAAT USD BANKA GISE KURU,,,
BNKGS'ZBXAU,BANKA GISE KURLARI,,ZIRAAT ALTIN BANKA GISE KURU,,,
CRP'1INCHTRY_ICR,KRIPTO PARA,,1INCHTRY - ICRYPEX,,,TRY
CRP'1INCHUSDT_ICR,KRIPTO PARA,,1INCHUSDT - ICRYPEX,,,USDT
CRP'1MPITTRY_ICR,KRIPTO PARA,,1MPITTRY - ICRYPEX,,,TRY
CRP'1MPITUSDT_ICR,KRIPTO PARA,,1MPITUSDT - ICRYPEX,,,USDT
CRP'AAVETRY_ICR,KRIPTO PARA,,AAVETRY - ICRYPEX,,,TRY
CRP'AAVEUSDT_ICR,KRIPTO PARA,,AAVEUSDT - ICRYPEX,,,USDT
CRP'ACHTRY_ICR,KRIPTO PARA,,ACHTRY - ICRYPEX,,,TRY
CRP'ACHUSDT_ICR,KRIPTO PARA,,ACHUSDT - ICRYPEX,,,USDT
CRP'ADATRY_ICR,KRIPTO PARA,,ADATRY - ICRYPEX,,,TRY
CRP'ADAUSDT_BNC,KRIPTO PARA,,ADAUSDT - BINANCE,,,USDT
CRP'ADAUSDT_FBNC,KRIPTO PARA,,ADAUSDT_COIN_PERPETUAL,,,USDT
CRP'ADAUSDT_ICR,KRIPTO PARA,,ADAUSDT - ICRYPEX,,,USDT
CRP'AGIXTRY_ICR,KRIPTO PARA,,AGIXTRY - ICRYPEX,,,TRY
CRP'AGIXUSDT_ICR,KRIPTO PARA,,AGIXUSDT - ICRYPEX,,,USDT
CRP'ALGOTRY_ICR,KRIPTO PARA,,ALGOTRY - ICRYPEX,,,TRY
CRP'ALGOUSDT_FBNC,KRIPTO PARA,,ALGOUSDT_COIN_PERPETUAL,,,USDT
CRP'ALGOUSDT_ICR,KRIPTO PARA,,ALGOUSDT - ICRYPEX,,,USDT
CRP'ALICETRY_ICR,KRIPTO PARA,,ALICETRY - ICRYPEX,,,TRY
CRP'ALICEUSDT_ICR,KRIPTO PARA,,ALICEUSDT - ICRYPEX,,,USDT
CRP'ALPHAUSDT_ICR,KRIPTO PARA,,ALPHAUSDT - ICRYPEX,,,USDT
CRP'ALTAYTRY_ICR,KRIPTO PARA,,ALTAYTRY - ICRYPEX,,,TRY
CRP'ALTUSDT_ICR,KRIPTO PARA,,ALTUSDT - ICRYPEX,,,USDT
CRP'ANKRTRY_ICR,KRIPTO PARA,,ANKRTRY - ICRYPEX,,,TRY
CRP'ANKRUSDT_ICR,KRIPTO PARA,,ANKRUSDT - ICRYPEX,,,USDT
CRP'ANTICPX_ICR,KRIPTO PARA,,ANTICPX - ICRYPEX,,,ICPX
CRP'ANTUSDT_ICR,KRIPTO PARA,,ANTUSDT - ICRYPEX,,,USDT
CRP'APETRY_ICR,KRIPTO PARA,,APETRY - ICRYPEX,,,TRY
CRP'APEUSDT_ICR,KRIPTO PARA,,APEUSDT - ICRYPEX,,,USDT
CRP'API3USDT_ICR,KRIPTO PARA,,API3USDT - ICRYPEX,,,USDT
CRP'APTTRY_ICR,KRIPTO PARA,,APTTRY - ICRYPEX,,,TRY
CRP'APTUSDT_ICR,KRIPTO PARA,,APTUSDT - ICRYPEX,,,USDT
CRP'ARBTRY_ICR,KRIPTO PARA,,ARBTRY - ICRYPEX,,,TRY
CRP'ARBUSDT_ICR,KRIPTO PARA,,ARBUSDT - ICRYPEX,,,USDT
CRP'ARKMTRY_ICR,KRIPTO PARA,,ARKMTRY - ICRYPEX,,,TRY
CRP'ARKMUSDT_ICR,KRIPTO PARA,,ARKMUSDT - ICRYPEX,,,USDT
CRP'ARPAUSDT_ICR,KRIPTO PARA,,ARPAUSDT - ICRYPEX,,,USDT
CRP'ASTUSDT_ICR,KRIPTO PARA,,ASTUSDT - ICRYPEX,,,USDT
CRP'ATOMTRY_ICR,KRIPTO PARA,,ATOMTRY - ICRYPEX,,,TRY
CRP'ATOMUSDT_BNC,KRIPTO PARA,,ATOMUSDT - BINANCE,,,USDT
CRP'ATOMUSDT_FBNC,KRIPTO PARA,,ATOMUSDT_COIN_PERPETUAL,,,USDT
CRP'ATOMUSDT_ICR,KRIPTO PARA,,ATOMUSDT - ICRYPEX,,,USDT
CRP'AUDIOTRY_ICR,KRIPTO PARA,,AUDIOTRY - ICRYPEX,,,TRY
CRP'AUDIOUSDT_ICR,KRIPTO PARA,,AUDIOUSDT - ICRYPEX,,,USDT
CRP'AVAXTRY_ICR,KRIPTO PARA,,AVAXTRY - ICRYPEX,,,TRY
CRP'AVAXUSDT_BNC,KRIPTO PARA,,AVAXUSDT - BINANCE,,,USDT
CRP'AVAXUSDT_FBNC,KRIPTO PARA,,AVAXUSDT_COIN_PERPETUAL,,,USDT
CRP'AVAXUSDT_ICR,KRIPTO PARA,,AVAXUSDT - ICRYPEX,,,USDT
CRP'AXSTRY_ICR,KRIPTO PARA,,AXSTRY - ICRYPEX,,,TRY
CRP'AXSUSDT_ICR,KRIPTO PARA,,AXSUSDT - ICRYPEX,,,USDT
CRP'BADGERUSDT_ICR,KRIPTO PARA,,BADGERUSDT - ICRYPEX,,,USDT
CRP'BAKEUSDT_ICR,KRIPTO PARA,,BAKEUSDT - ICRYPEX,,,USDT
CRP'BALUSDT_ICR,KRIPTO PARA,,BALUSDT - ICRYPEX,,,USDT
CRP'BANDTRY_ICR,KRIPTO PARA,,BANDTRY - ICRYPEX,,,TRY
CRP'BANDUSDT_ICR,KRIPTO PARA,,BANDUSDT - ICRYPEX,,,USDT
CRP'BATTRY_ICR,KRIPTO PARA,,BATTRY - ICRYPEX,,,TRY
CRP'BATUSDT_FBNC,KRIPTO PARA,,BATUSDT_COIN_PERPETUAL,,,USDT
CRP'BATUSDT_ICR,KRIPTO PARA,,BATUSDT - ICRYPEX,,,USDT
CRP'BCHTRY_ICR,KRIPTO PARA,,BCHTRY - ICRYPEX,,,TRY
CRP'BCHUSDT_FBNC,KRIPTO PARA,,BCHUSDT_COIN_PERPETUAL,,,USDT
CRP'BCHUSDT_ICR,KRIPTO PARA,,BCHUSDT - ICRYPEX,,,USDT
CRP'BEAMXICPX_ICR,KRIPTO PARA,,BEAMXICPX - ICRYPEX,,,ICPX
CRP'BICOUSDT_ICR,KRIPTO PARA,,BICOUSDT - ICRYPEX,,,USDT
CRP'BLURTRY_ICR,KRIPTO PARA,,BLURTRY - ICRYPEX,,,TRY
CRP'BLURUSDT_ICR,KRIPTO PARA,,BLURUSDT - ICRYPEX,,,USDT
CRP'BNBUSDT_BNC,KRIPTO PARA,,BNBUSDT - BINANCE,,,USDT
CRP'BNBUSDT_FBNC,KRIPTO PARA,,BNBUSDT_COIN_PERPETUAL,,,USDT
CRP'BONEUSDT_ICR,KRIPTO PARA,,BONEUSDT - ICRYPEX,,,USDT
CRP'BTCEUR_BNC,KRIPTO PARA,,BTCEUR - BINANCE,,,EUR
CRP'BTCTRY_BNC,KRIPTO PARA,,BTCTRY - BINANCE,,,TRY
CRP'BTCTRY_ICR,KRIPTO PARA,,BTCTRY - ICRYPEX,,,TRY
CRP'BTCTUSD_BNC,KRIPTO PARA,,BTCTUSD - BINANCE,,,TUSD
CRP'BTCUSDT_BNC,KRIPTO PARA,,BTCUSDT - BINANCE,,,USDT
CRP'BTCUSDT_FBNC,KRIPTO PARA,,BTCUSDT_COIN_NEXT_QUARTER,,,USDT
CRP'BTCUSDT_ICR,KRIPTO PARA,,BTCUSDT - ICRYPEX,,,USDT
CRP'BTTTRY_ICR,KRIPTO PARA,,BTTTRY - ICRYPEX,,,TRY
CRP'BTTUSDT_ICR,KRIPTO PARA,,BTTUSDT - ICRYPEX,,,
CRP'BUSDUSDT_ICR,KRIPTO PARA,,BUSDUSDT - ICRYPEX,,,USDT
CRP'CAKEUSDT_ICR,KRIPTO PARA,,CAKEUSDT - ICRYPEX,,,USDT
CRP'CEEKTRY_ICR,KRIPTO PARA,,CEEKTRY - ICRYPEX,,,TRY
CRP'CEEKUSDT_ICR,KRIPTO PARA,,CEEKUSDT - ICRYPEX,,,USDT
CRP'CELRUSDT_ICR,KRIPTO PARA,,CELRUSDT - ICRYPEX,,,USDT
CRP'CHZTRY_ICR,KRIPTO PARA,,CHZTRY - ICRYPEX,,,TRY
CRP'CHZUSDT_BNC,KRIPTO PARA,,CHZUSDT - BINANCE,,,USDT
CRP'CHZUSDT_ICR,KRIPTO PARA,,CHZUSDT - ICRYPEX,,,USDT
CRP'CITYICPX_ICR,KRIPTO PARA,,CITYICPX - ICRYPEX,,,ICPX
